aren't,are not
can't,cannot
could've,could have
couldn't,could not
didn't,did not
doesn't,does not
don't,do not
gonna,going to
gotta,got to
hadn't,had not
hasn't,has not
haven't,have not
he'd,he would
he'll,he will
he's,he is
how's,how is
I'd,I would
I'll,I will
I'm,I am
i'm,I am
i've,I have
I've,I have
isn't,is not
it'd,it would
it'll,it will
it's,it is
mayn't,may not
may've,may have
mightn't,might not
might've,might have
mustn't,must not
must've,must have
needn't,need not
o'clock,of the clock
oughtn't,ought not
she'd,she would
she'll,she will
she's,she is
should've,should have
shouldn't,should not
that's,that is
there're,there are
there's,there is
these're,these are
they'd,they would
they'll,they will
they're,they are
they've,they have
this's,this is
those're,those are
wasn't,was not
we'd,we would
we'll,we will
we're,we are
we've,we have
weren't,were not
what'll,what will
what're,what are
what's,what is
what've,what have
when's,when is
where're,where are
where's,where is
which's,which is
who'd,who would
who'll,who will
who're,who are
who's,who is
why's,why is
won't,will not
would've,would have
wouldn't,would not
you'd,you would
you'll,you will
you're,you are
you've,you have
