Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.1299610047632334, 0.12304583491111287
13, 0.11436082585453053, 0.10246636838329082
16, 0.1286742794270418, 0.12449448566047513
19, 0.12868115385160026, 0.12124364736128826
22, 0.13343649784576475, 0.12734837123325893
24, 0.13363204411097937, 0.13635519222337372
25, 0.14043227464325572, 0.13810599190848213
28, 0.13390302963924128, 0.13354117257254466
29, 0.14546751759238516, 0.15081612723214285
30, 0.1300339514284718, 0.12963132274394135
31, 0.13771484154003708, 0.13603136957908163
34, 0.13666504107746616, 0.12772883823939732
35, 0.12396625645584682, 0.10554353675063775
37, 0.14349543500459466, 0.15061301717952807
40, 0.13835742973794743, 0.1457771394690689
43, 0.1306268604570053, 0.12628776705994899
46, 0.1323429022368437, 0.13740063725685586
49, 0.1271144394435668, 0.13793329978475766
50, 0.13734807004344707, 0.14105238933952485
7, 0.13285048504264987, 0.13466466786910075
8, 0.1322845023018973, 0.13461893509845346
9, 0.12969154825015944, 0.1318924635283801
