Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.11830323168696188, 0.13130239681321748
13, 0.1191187788216248, 0.09043936593191965
16, 0.11722521606756717, 0.10179293885522958
19, 0.12832593776485715, 0.12117054219148597
22, 0.11745312409409786, 0.11484002560985332
24, 0.12714358790391156, 0.11470006825972576
25, 0.12292136566784917, 0.12309724768813776
28, 0.12209251414930157, 0.1036667928890306
29, 0.12587123733939293, 0.1284098971619898
30, 0.12978651833047672, 0.12435319550183355
31, 0.12414166247711284, 0.11719968211894133
34, 0.12093639259292586, 0.12013025400589923
35, 0.12471870729318515, 0.1272038798429528
37, 0.1268401204112874, 0.1136488809390944
40, 0.13550959637700294, 0.12830266835738202
43, 0.12737090948581922, 0.11886018714126276
46, 0.1336286881589847, 0.13586278798628826
49, 0.13244952772617935, 0.12902650171396685
50, 0.1304881374436982, 0.13328785176179847
7, 0.11247314542097532, 0.11272519481425383
8, 0.0999853990515884, 0.08257943601024394
9, 0.10721221577823838, 0.0760843393753986
