Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.13860024152483258, 0.14459506287866708
13, 0.136975930781342, 0.13142595563616072
16, 0.12650415654085118, 0.12022810955436862
19, 0.1318058086850077, 0.14024172413105868
22, 0.1468385108282482, 0.14352603211694834
24, 0.13831670514580344, 0.13388767787388392
25, 0.1289050686583227, 0.1293337950414541
28, 0.12692723221403515, 0.12254602549027424
29, 0.12109780565942366, 0.11899795220822704
30, 0.1356657168848985, 0.1354297310965402
31, 0.13542261019437388, 0.13001784966916455
34, 0.1441114378490654, 0.14323577258051656
35, 0.14228653407861472, 0.14379195232780612
37, 0.12831700656930844, 0.12579886300223214
40, 0.1348736391651387, 0.13689215835259885
43, 0.13837198475610038, 0.1395519023038903
46, 0.1328050655036662, 0.1452645188934949
49, 0.13487639561041054, 0.13852730887276785
50, 0.12336835165218432, 0.11613656803053253
7, 0.13567623750113883, 0.1453521728515625
8, 0.13263453892299107, 0.13099354023836096
9, 0.13786368164616108, 0.14248454191246812
