Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.12891395973672673, 0.10803645542689733
13, 0.10974638599054408, 0.09112421152543049
16, 0.12397054321911871, 0.10682861950932718
19, 0.10970972735182685, 0.08999086963887118
22, 0.1253623795376638, 0.11780752376634247
24, 0.12759321095992107, 0.11913176244618942
25, 0.11598620680205675, 0.10557520029496173
28, 0.12237162286964173, 0.11446460957429846
29, 0.12259653584039353, 0.11637923260124362
30, 0.13389476521809895, 0.12905541244818242
31, 0.12312565696168841, 0.11785166214923469
34, 0.12211383521914627, 0.12263896085778062
35, 0.13428938529234238, 0.12531377052774234
37, 0.12804762312672907, 0.1252711704799107
40, 0.12760482414401308, 0.12162687963368941
43, 0.1312268738459228, 0.12914542061941964
46, 0.13303997801380446, 0.12924457783601723
49, 0.12790026390269515, 0.12114820830676021
50, 0.13697624860491073, 0.1323058085538903
7, 0.10592177721918847, 0.08044451032366072
8, 0.12102217771569077, 0.11801064004703445
9, 0.11776506419625142, 0.10806574607382015
