Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.10168238332320231, 0.11517508370535715
13, 0.10082452363833154, 0.10061981823979592
16, 0.10131765677004445, 0.09908095379264986
19, 0.08460539722545062, 0.0827078932158801
22, 0.08925844054496355, 0.09553629661092952
24, 0.08758865693799493, 0.08480050846022003
25, 0.08557178207708865, 0.08229968012595663
28, 0.08612181605124959, 0.08847452903280453
29, 0.1025155969843908, 0.10805987922512755
30, 0.10497942751929872, 0.1000578650649713
31, 0.09370586201891921, 0.09655071647799746
34, 0.1051470720123987, 0.10322998046875
35, 0.10113309934743987, 0.10719839913504464
37, 0.09891600906027001, 0.1081409687898597
40, 0.10279648076271523, 0.10455277423469388
43, 0.09734843387612813, 0.10241555972975128
46, 0.10165668281074529, 0.10049476467833227
49, 0.10266520070016807, 0.1018224101163903
50, 0.1019889335788026, 0.10766649518694196
7, 0.09274684361049106, 0.08835528938137754
8, 0.10237159495451012, 0.10592405358139348
9, 0.10609048302752092, 0.1084911112882653
