Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.10190312724210777, 0.11539535833864795
13, 0.10079673707204485, 0.09268767687739159
16, 0.09933380983313735, 0.09016876532106982
19, 0.08492363246503885, 0.08348382443797832
22, 0.08956819679387645, 0.09716040163624043
24, 0.08824473374554899, 0.08709565766003667
25, 0.08557935529436385, 0.08215807856345664
28, 0.08623298400345071, 0.08763700524154974
29, 0.10375397415751723, 0.11091291155133928
30, 0.10417070381008849, 0.09952003323301978
31, 0.09349641911680562, 0.0934322435028699
34, 0.10505148027839066, 0.10518326739875639
35, 0.10019805062964081, 0.10712718730070153
37, 0.09853371588091, 0.10851774254623725
40, 0.10208308044744996, 0.10658218695192921
43, 0.09728372878919692, 0.1024155721859056
46, 0.10131537335048021, 0.09752126888352997
49, 0.10222428531162145, 0.10219144860092474
50, 0.10266937673140543, 0.10943673892897002
7, 0.09234049983344342, 0.08837169413663903
8, 0.10360587217369857, 0.107700824348294
9, 0.10652250363442903, 0.10798104422433036
