Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.03601629093715123, 0.037573179906728316
13, 0.03667923476669815, 0.03234886325135523
16, 0.04124769152427206, 0.036662663051060265
19, 0.03782917649610214, 0.03301305965501435
22, 0.03824801889111691, 0.035441078653140945
24, 0.042344585989608254, 0.039540881721340876
25, 0.04237421787806919, 0.0390250318877551
28, 0.04591237159929192, 0.0440518499880421
29, 0.039496878262223874, 0.03576342524314413
30, 0.041216657988879156, 0.03713753992197465
31, 0.038818549883844346, 0.03325301501215721
34, 0.041365878413132835, 0.038750931097536676
35, 0.0392753089037303, 0.042938375667649874
37, 0.04176698763595387, 0.04121688531369579
40, 0.03852952614609076, 0.03857899101413026
43, 0.04116909333072005, 0.03950067014110332
46, 0.04025747253499205, 0.04018237055564414
49, 0.03809602320368019, 0.036006840297154015
50, 0.04012079860142299, 0.03793149987045599
7, 0.038871708194298915, 0.0425962985291773
8, 0.03816929875587931, 0.0359412804428412
9, 0.0374863760811942, 0.035188629773198345
