Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.1302433452995456, 0.1299102783203125
13, 0.15067795207025117, 0.1590242596061862
16, 0.14009316113530373, 0.14040108816964286
19, 0.15555425494365097, 0.16755681251992985
22, 0.14768028245122625, 0.16127611432756697
24, 0.15137236913045246, 0.15818908068598533
25, 0.15675961465640945, 0.16568622199856506
28, 0.15943929021629577, 0.16318039251833547
29, 0.14414830121249064, 0.14470294563137756
30, 0.14295581739775987, 0.15086189114317602
31, 0.16137123755831084, 0.16648686623086734
34, 0.16005264318862314, 0.16533983503069194
35, 0.16701114843607648, 0.18114764777981504
37, 0.1585161340190637, 0.1750498495296556
40, 0.16095566045021523, 0.17611551090162628
43, 0.1486176168607432, 0.16426359215561223
46, 0.1527547669431861, 0.16638679348692603
49, 0.1598228034512394, 0.16952173349808675
50, 0.14720346766880582, 0.166091271225287
7, 0.14304060866464333, 0.15735406369579083
8, 0.15415998653489715, 0.13917475486288267
9, 0.15506287313102324, 0.1697651516661352
