Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.032390977295077575, 0.011281280517578124
13, 0.039029874367466896, 0.006683228161870217
16, 0.04141753876695828, 0.011378076125164421
19, 0.04607077943523256, 0.01162343862105389
22, 0.035237815852842, 0.014308588456134407
24, 0.04616204986158682, 0.009046833271882972
25, 0.0382037915560664, 0.01162343862105389
28, 0.05768535967992277, 0.032025945235271844
29, 0.044573370329852174, 0.011623435507015306
30, 0.04828456365170121, 0.023271475032884247
31, 0.053908119415122475, 0.010906367399254624
34, 0.044553841379295585, 0.019003761447205836
35, 0.044385811370941365, 0.018460926912268815
37, 0.044095514127712385, 0.007928560218032525
40, 0.04775164309235251, 0.008989796541175064
43, 0.04812421595705138, 0.01719243575115593
46, 0.04149272110415648, 0.010372301996970663
49, 0.0429152496007024, 0.015124237683354592
50, 0.04075755172043431, 0.009958447047642299
7, 0.04463478644457225, 0.016686301717952805
8, 0.04505028962632831, 0.007222595993353396
9, 0.0514081321335704, 0.005132978789660395
