Number of clusters, Avarge Mean Score_fasttext, Avarge Mean Score_w2v, Avarge Mean Score_glove,Average
7,0.191226690976335,0.070157404668825,0.036649922407056,0.099344672684072
8,0.186210576271524,0.061043931659387,0.035347429124677,0.094200645685196
9,0.185928574473409,0.066505706364335,0.040270644553394,0.097568308463713
10,0.186929808324697,0.051509973477344,0.031522538009955,0.089987439937332
13,0.19834113056656,0.059504083181663,0.04058487060493,0.099476694784384
16,0.188941105433873,0.050104428712203,0.035618030514036,0.091554521553371
19,0.189847403586743,0.048754605130402,0.037093106824525,0.091898371847223
22,0.182339606063928,0.045576171693643,0.030731903254875,0.086215893670815
24,0.178158501086592,0.046908629926897,0.029559602528608,0.084875577847366
25,0.18120926438935,0.038660682882582,0.028186840680667,0.0826855959842
28,0.18348122243631,0.04341995602794,0.027202490672426,0.084701223045559
29,0.181262099006325,0.052376506258114,0.035022420855495,0.089553675373311
30,0.168101285142963,0.042252688027564,0.028160365660174,0.079504779610234
31,0.18040882464692,0.042282667780017,0.02679759697313,0.083163029800022
34,0.172112550952998,0.040747335895914,0.027544096649623,0.080134661166179
35,0.17218660849524,0.043067475908352,0.02727476786177,0.08084295075512
37,0.17384710531766,0.040886285800468,0.02632998192501,0.080354457681046
40,0.166299044706384,0.038967393152264,0.024036327848021,0.076434255235556
43,0.171764914680557,0.035803914262494,0.021645341332229,0.076404723425093
46,0.167512114151664,0.038195886290116,0.02373273022691,0.07648024355623
49,0.16882212113361,0.036938880067327,0.021724674021488,0.075828558407475
50,0.163491029077647,0.03471256906524,0.022427504561629,0.073543700901505
