Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.031522538009954956, 0.014102885966398278
13, 0.04058487060492978, 0.014252671222297513
16, 0.035618030514035906, 0.0021075252610809948
19, 0.03709310682452455, 0.009035080890266263
22, 0.030731903254875226, 0.0020322246940768494
24, 0.029559602528607763, 0.003045156050701531
25, 0.028186840680667333, -0.001337755164321588
28, 0.027202490672425694, -0.00014658441348951688
29, 0.03502242085549464, 0.0022124325499242666
30, 0.02816036566017437, 0.002411004280557438
31, 0.026797596973129764, 0.00354671556122449
34, 0.027544096649623293, -0.0014742489250338807
35, 0.02727476786176943, 0.0028540148053850444
37, 0.026329981925010158, -0.001996083162268814
40, 0.024036327848020865, -0.004262532214729154
43, 0.02164534133222921, -0.00396410338732661
46, 0.02373273022691021, -0.00037341915831273916
49, 0.021724674021487728, -0.0011261936109893177
50, 0.022427504561628613, -0.0005411039079938615
7, 0.03664992240705573, 0.03731317636918048
8, 0.03534742912467645, 0.01181306488659917
9, 0.04027064455339427, 0.02835814806879783
