Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.051509973477344116, 0.028328208144830197
13, 0.059504083181662684, 0.027117574263592157
16, 0.05010442871220257, 0.007791470118931361
19, 0.04875460513040152, 0.028232527752311862
22, 0.04557617169364265, 0.011264568251006458
24, 0.046908629926897226, 0.01670857643594547
25, 0.03866068288258144, 0.0048581399722975125
28, 0.04341995602794013, 0.016396778651646206
29, 0.05237650625811423, 0.016604533292809313
30, 0.042252688027563545, 0.017497714295679208
31, 0.042282667780016665, 0.0072758047921316965
34, 0.040747335895913846, 0.006972927171356823
35, 0.04306747590835171, 0.014351236771564094
37, 0.04088628580046831, 0.006713895213847258
40, 0.0389673931522637, 0.007107478550502233
43, 0.03580391426249369, 0.002277120473433514
46, 0.038195886290115715, 0.010770002871143575
49, 0.036938880067326436, 0.009946183185188138
50, 0.034712569065239965, 0.013536081897969149
7, 0.07015740466882467, 0.07290854317801339
8, 0.06104393165938708, 0.03210869146853077
9, 0.06650570636433538, 0.06209126997967156
