Number of clusters, Avarge Mean Score, Avarge Median Score
10, -0.006083529900531379, -0.007568516147379973
13, -0.005289902990242375, -0.00855669118920151
16, -0.006525128538511237, -0.008059873872873734
19, -0.005131875161965858, -0.007807527269635882
22, -0.0052644398001217875, -0.007249624777813346
24, -0.00288135152082054, -0.008199971062796456
25, -0.005167575405081924, -0.008074243701234156
28, -0.005536350093065129, -0.006885799583123655
29, -0.004198698669063802, -0.007361339841570173
30, -0.00389734914270388, -0.007620896903835997
31, -0.005542463732833059, -0.006814336192851164
34, -0.0029414266569703132, -0.00702857494354248
35, -0.004717483687678857, -0.00661369090177575
37, -0.004920635203662921, -0.007515505771247708
40, -0.002372013401620242, -0.007694143081197933
43, -0.002977501916613803, -0.00608642188870177
46, -0.0038416366690328507, -0.007048477153388822
49, -0.002157839802293567, -0.006798607573217275
50, -0.0031582462339985124, -0.007151728454901248
7, -0.006812475666012778, -0.0070378247085882695
8, -0.007352982464493537, -0.008057170887382663
9, -0.0031845821125977706, -0.007082721943757972
