Number of clusters, Avarge Mean Score_glove, Avarge Mean Score_w2v, Avarge Mean Score_fasttext,Average
7,0.115361622179215,0.117431994832987,0.113380007285071,0.115391208099091
8,0.087077342685388,0.095211047995455,0.100419942505506,0.094236111062116
9,0.087703053989108,0.086942698467616,0.096110332601465,0.09025202835273
10,0.095855259024367,0.101149797325232,0.10378071251694,0.100261922955513
13,0.08586097235208,0.096228605329148,0.096531355062871,0.092873644248033
16,0.097313654763358,0.107310505308667,0.107893621483628,0.104172593851884
19,0.091483121179484,0.099221986013632,0.100768240857969,0.097157782683695
22,0.085721446835265,0.090588432309358,0.092016037921516,0.08944197235538
24,0.098723609301509,0.111928624904075,0.113320890673164,0.107991041626249
25,0.08957143099454,0.098257157127225,0.101949744275151,0.096592777465639
28,0.082736745586201,0.091749551410925,0.098573541557824,0.091019946184983
29,0.08906289344099,0.099236284936506,0.104590957931529,0.097630045436342
30,0.085892218875236,0.097399187117207,0.104160609757819,0.095817338583421
31,0.092382113536461,0.103286921119439,0.105984765882159,0.10055126684602
34,0.08698206100358,0.10144472711799,0.105546728731776,0.097991172284448
35,0.087984230480806,0.099386893280046,0.101938950964035,0.096436691574962
37,0.089149313454331,0.100993150775103,0.105257054879661,0.098466506369698
40,0.087437791067727,0.100142510037033,0.107828560264743,0.098469620456501
43,0.092151002657034,0.104780747401641,0.107703417907918,0.101545055988864
46,0.093544543078492,0.108427321348131,0.110330991905774,0.104100952110799
49,0.085588213124408,0.09774314701433,0.102204286892282,0.09517854901034
50,0.083416673193173,0.09511629251193,0.102305354713907,0.093612773473003
