Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.10378071251694036, 0.10962555243044483
13, 0.096531355062871, 0.0963902812101403
16, 0.10789362148362762, 0.12108944639867666
19, 0.10076824085796943, 0.10413970324457908
22, 0.09201603792151626, 0.09190093994140625
24, 0.1133208906731638, 0.12907704878826531
25, 0.10194974427515145, 0.11081503109056122
28, 0.09857354155782361, 0.08717927893813776
29, 0.1045909579315293, 0.11343368841677295
30, 0.10416060975781913, 0.10613841465541295
31, 0.10598476588215933, 0.11779242067920918
34, 0.10554672873177591, 0.09917720249720982
35, 0.10193895096403516, 0.08898591956313776
37, 0.10525705487966143, 0.10849616848692602
40, 0.1078285602647431, 0.10943417296117666
43, 0.10770341790791763, 0.11437658193160076
46, 0.11033099190577432, 0.11926671865035077
49, 0.10220428689228203, 0.10318822743941326
50, 0.10230535471390706, 0.10690071573062819
7, 0.11338000728507083, 0.12906796825175382
8, 0.10041994250550562, 0.0661463772520727
9, 0.09611033260146506, 0.06824977952606824
