Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.10114979732523159, 0.11227605702925701
13, 0.09622860532914825, 0.10613762057557398
16, 0.10731050530866701, 0.15847803232621172
19, 0.09922198601363168, 0.11864798409598214
22, 0.09058843230935772, 0.06538169549435985
24, 0.11192862490407463, 0.13776061388911032
25, 0.09825715712722469, 0.1306084582270408
28, 0.09174955141092526, 0.07533229282924107
29, 0.09923628493650626, 0.08076285226004465
30, 0.09739918711720681, 0.10589090775470344
31, 0.10328692111943881, 0.12708254444355868
34, 0.10144472711798953, 0.10745536337093431
35, 0.09938689328004598, 0.08514426095145089
37, 0.1009931507751025, 0.11196087272799744
40, 0.10014251003703292, 0.1298547923808195
43, 0.10478074740164077, 0.11601153938137755
46, 0.10842732134813106, 0.1347806284378986
49, 0.09774314701433036, 0.09247772839604591
50, 0.09511629251193028, 0.1275706450793208
7, 0.11743199483298698, 0.1465861044124681
8, 0.0952110479954554, 0.07005914804886798
9, 0.08694269846761578, 0.02274796777841996
