Number of clusters, Avarge Mean Score_glove, Avarge Mean Score_w2v, Avarge Mean Score_fasttext,Average
7,-0.004168667028666,0.004954447148493,0.040729997373531,0.013838592497786
8,-0.004176436869466,0.006215258179879,0.03982400894165,0.013954276750688
9,-0.002957106761111,0.007185216933962,0.044431967010844,0.016220025727899
10,-0.0021824153978,0.008779579785405,0.045370422830387,0.017322529072664
13,-0.002571001801423,0.006788527490206,0.053005223057147,0.019074249581976
16,-0.001074939686425,0.009998404468809,0.057319685585645,0.022081050122676
19,-0.000441148678035,0.009723035564484,0.05645335720894,0.021911748031797
22,0.000308762065555,0.013257807552925,0.057568998672967,0.023711856097149
24,0.002836671694606,0.017126486544706,0.059824426222821,0.026595861487378
25,0.001652904946463,0.014479984361298,0.059091621803751,0.025074837037171
28,0.00175140747176,0.014508160759339,0.061995695242034,0.026085087824378
29,0.000763107315912,0.013535643597039,0.057848987297472,0.024049246070141
30,0.002487931043923,0.016114367245006,0.061880023982249,0.02682744075706
31,0.002300186942015,0.015168208372758,0.060337343498466,0.02593524627108
34,0.005180124177509,0.019987268825682,0.063586644863023,0.029584679288738
35,0.00294428708602,0.016515683616216,0.061968733540082,0.027142901414106
37,0.004245209407228,0.018388680638494,0.064909328201892,0.029181072749204
40,0.003549769798104,0.018409082831169,0.065148714065552,0.029035855564941
43,0.003012045600938,0.016911433708289,0.064631762547577,0.028185080618935
46,0.00525733233979,0.020607066505656,0.066504378839203,0.03078959256155
49,0.004482430879497,0.018838718021874,0.066224001845138,0.02984838358217
50,0.003899964250837,0.016464824314507,0.065998012371453,0.028787600312265
