Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.008779579785405372, 0.008987832361338089
13, 0.00678852749020563, 0.0030364507558394453
16, 0.009998404468808855, 0.0071940760709801495
19, 0.009723035564484067, 0.008950254479233099
22, 0.013257807552925067, 0.008969851124043367
24, 0.017126486544706384, 0.013837896853077169
25, 0.01447998436129823, 0.012817547856544962
28, 0.014508160759339177, 0.013622222433284837
29, 0.013535643597038422, 0.015459960626096142
30, 0.016114367245005912, 0.015455786257374043
31, 0.015168208372757728, 0.01659651775749362
34, 0.019987268825682126, 0.01859771728515625
35, 0.016515683616215564, 0.01656648285534917
37, 0.018388680638493714, 0.01610319487902583
40, 0.018409082831168662, 0.016800094915896045
43, 0.01691143370828868, 0.015091921747947226
46, 0.020607066505655528, 0.016418036636041133
49, 0.01883871802187423, 0.01684148360271843
50, 0.016464824314506687, 0.014675336565290178
7, 0.004954447148492663, 0.00633968431122449
8, 0.006215258179878702, 0.004999255355523557
9, 0.007185216933961899, 0.007099836699816646
