Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.04868454166334503, 0.047501314124282525
13, 0.04684499767548996, 0.04544221839126276
16, 0.05451053210667201, 0.05241276955117985
19, 0.052299855331601176, 0.054671381736288265
22, 0.0472779993400503, 0.04669838730169802
24, 0.061726686257083406, 0.056692271329918685
25, 0.06723230790118782, 0.05890834263392857
28, 0.06468547387303833, 0.05462146681182238
29, 0.06931620362273073, 0.0584333645567602
30, 0.06223213839368756, 0.05227592935367506
31, 0.0675367401303862, 0.05996057004344706
34, 0.06906701361574905, 0.05617265350964605
35, 0.0748178087240058, 0.05641463299186862
37, 0.06998936614737744, 0.06478104571906888
40, 0.07717978138826331, 0.0558828641930405
43, 0.06594254445282836, 0.05492178157884248
46, 0.07155617443988467, 0.061179395403180806
49, 0.0817566396513863, 0.06241329270966199
50, 0.08195605518574618, 0.06399484439772002
7, 0.042713325433758886, 0.043577189542809314
8, 0.044419394123310946, 0.042897285928531564
9, 0.04670979125699759, 0.04387205785634566
