Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.0038100974803068196, 0.0006474385942731584
13, 0.0038648269389824743, 0.0006490995446029975
16, 0.009825493875814943, 0.004054762392627949
19, 0.006915753033696389, 0.005265565210459184
22, 0.006218356343058798, 0.0028863007681710377
24, 0.01781574823418442, 0.010055796564841757
25, 0.024946319027336274, 0.012382796929807078
28, 0.02481606133130132, 0.01141093195701132
29, 0.025536920304536654, 0.012704776063257334
30, 0.019553179306237876, 0.008928990266761002
31, 0.025702102528032778, 0.016524817019092794
34, 0.026570723328699152, 0.01408375175631776
35, 0.032844215782321225, 0.011615226901307398
37, 0.026366622270435767, 0.016314912134287308
40, 0.03411394782942169, 0.006984394618443081
43, 0.021464941638535552, 0.00900171708087532
46, 0.028324927412099087, 0.019923648444973692
49, 0.041287095801922635, 0.01936341266242825
50, 0.043311880312160565, 0.02305521128128986
7, -0.002173715263344456, -0.0024513182348134565
8, 0.000853159087044852, -1.8722767732581326e-05
9, 0.0054674658050883115, 0.0018086616360411352
