Number of clusters, Avarge Mean Score w2v, Avarge Mean Score glove, Avarge Mean Score fasttext,Average
7,0.228124491077123,0.147377220576428,0.179860480394725,0.185120730682759
8,0.196935917601293,0.122564794773958,0.1604147323297,0.15997181490165
9,0.21064141029133,0.113450224307659,0.152055186576584,0.158715607058524
10,0.203212363729672,0.130995328786422,0.169803748305963,0.168003813607352
13,0.199513316970418,0.128591254457387,0.159961765355181,0.162688778927662
16,0.214888935478366,0.133241730709465,0.172847702649175,0.173659456279002
19,0.210592856565941,0.130354998104042,0.170448632327366,0.170465495665783
22,0.213447987515763,0.133745357393113,0.170864972625902,0.172686105844926
24,0.213852879011712,0.132690384144686,0.171632902184311,0.172725388446903
25,0.206812696308992,0.133235464041574,0.167562733179209,0.169203631176592
28,0.211678870287303,0.132062081873591,0.1747153257142,0.172818759291698
29,0.211336106817794,0.136060319077709,0.175295005545995,0.174230477147166
30,0.208620070684524,0.129791552277649,0.1721351449149,0.170182255959024
31,0.19620263989306,0.123539017256033,0.168372936738487,0.162704864629193
34,0.210573164080085,0.133366253544875,0.173676728137544,0.172538715254168
35,0.209204142489864,0.132711393039359,0.171187761579241,0.171034432369488
37,0.202531205696489,0.131221248712976,0.171655109655903,0.168469188021789
40,0.20340069650144,0.131672289089281,0.169309664979273,0.168127550189998
43,0.203107190596079,0.131690336642924,0.173373677706798,0.1693904016486
46,0.205914976700492,0.135672954637177,0.178570048375371,0.17338599323768
49,0.190420978741564,0.118472236941527,0.163057101629814,0.157316772437635
50,0.19957684338628,0.128777625259088,0.166208724664182,0.16485439776985
