Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.169803748305963, 0.19950938322106188
13, 0.15996176535518056, 0.19628412986288266
16, 0.1728477026491749, 0.15894211749641263
19, 0.17044863232736557, 0.18575661172672195
22, 0.17086497262590228, 0.18895730777662628
24, 0.17163290218431124, 0.1716106181242028
25, 0.1675627331792092, 0.16186611876195792
28, 0.1747153257142003, 0.16694756955516582
29, 0.17529500554599534, 0.1691881327726403
30, 0.17213514491489956, 0.16305815404775192
31, 0.16837293673848702, 0.15438516422193876
34, 0.17367672813754406, 0.17336825623804208
35, 0.17118776157924107, 0.17858834402901785
37, 0.1716551096559031, 0.16318606006855868
40, 0.16930966497927297, 0.15644818987165177
43, 0.17337367770679765, 0.17388257085060588
46, 0.17857004837537085, 0.18035204829001913
49, 0.16305710162981404, 0.16197213309151787
50, 0.1662087246641821, 0.15964499960140305
7, 0.17986048039472485, 0.20732917629942602
8, 0.16041473232969947, 0.20046322569555164
9, 0.15205518657658376, 0.1521856315768495
