Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.13099532878642178, 0.12470176852479273
13, 0.12859125445738692, 0.139954908721301
16, 0.13324173070946518, 0.11093431745256696
19, 0.1303549981040422, 0.12471131616709184
22, 0.13374535739311263, 0.12290132483657526
24, 0.1326903841446857, 0.14304800851004465
25, 0.1332354640415737, 0.12951936682876275
28, 0.13206208187359067, 0.11670763911033163
29, 0.13606031907770855, 0.13081697425063776
30, 0.12979155227764932, 0.12601068613480548
31, 0.12353901725603296, 0.11696573062818877
34, 0.133366253544875, 0.12028685900629783
35, 0.1327113930393586, 0.14121467434630103
37, 0.13122124871297625, 0.13141023596938775
40, 0.13167228908928072, 0.1265421030472736
43, 0.13169033664292387, 0.13380276426977042
46, 0.13567295463717713, 0.12768850521165498
49, 0.11847223694152705, 0.11838926977040816
50, 0.128777625259088, 0.13121804373604912
7, 0.1473772205764281, 0.14573999521683673
8, 0.12256479477395818, 0.11888906050701531
9, 0.11345022430765926, 0.11187143753985969
