Number of clusters, Avarge Mean Score w2v, Avarge Mean Score glove, Avarge Mean Score fasttext,Average
7,0.027068712050991,0.016079386385815,0.105527795730457,0.049558631389088
8,0.030218151345545,0.018609811821762,0.106505236722985,0.051777733296764
9,0.036928772483013,0.019612102205791,0.098333232300082,0.051624702329628
10,0.032000008738771,0.017846735788851,0.104799308932557,0.051548684486727
13,0.026286566178877,0.011712578334838,0.099392779723067,0.045797308078928
16,0.022016439085104,0.010936824892249,0.101481115380112,0.044811459785822
19,0.031219837832016,0.01610156353255,0.103803231375558,0.050374877580041
22,0.030708237189751,0.017026688101562,0.105589669250602,0.051108198180638
24,0.028493562150164,0.015206951121895,0.104700102254647,0.049466871842235
25,0.027728396637586,0.014441213086187,0.101808863799426,0.047992824507733
28,0.028331061730232,0.014297948536998,0.095323504122631,0.045984171463287
29,0.030740021484826,0.016940292369137,0.099988182545715,0.049222832133226
30,0.026326448440552,0.013375873961416,0.097119843774912,0.045607388725627
31,0.028056033061004,0.014273914302,0.10036907665662,0.047566341339875
34,0.030538877129984,0.016829038278825,0.100420612092493,0.049262842500434
35,0.027626024151683,0.014068791559069,0.097703894256503,0.046466236655752
37,0.028433344610081,0.015160875357256,0.098804508636357,0.047466242867898
40,0.029717404764526,0.017192660881549,0.10024627047169,0.049052112039255
43,0.027449766828033,0.013953008572525,0.097237650070589,0.046213475157049
46,0.027562534278118,0.014799506298292,0.098786954972844,0.047049665183085
49,0.028604153871834,0.016120256172126,0.100052510126091,0.048258973390017
50,0.029736976934939,0.016246663790333,0.098403053252551,0.048128897992608
