Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.1047993089325574, 0.11277534329161351
13, 0.09939277972306712, 0.09908975406568878
16, 0.10148111538011201, 0.10922500298947704
19, 0.10380323137555802, 0.10218913175621812
22, 0.1055896692506015, 0.10415942133689413
24, 0.10470010225464699, 0.11136185626594387
25, 0.10180886379942602, 0.10360296755420918
28, 0.0953235041226312, 0.099006976692044
29, 0.09998818254571494, 0.09486025440449618
30, 0.09711984377491233, 0.10058986118861607
31, 0.10036907665662034, 0.10561973104671556
34, 0.10042061209249326, 0.10203009780572386
35, 0.09770389425650282, 0.09858181700414541
37, 0.09880450863635677, 0.10064404545998087
40, 0.10024627047168966, 0.10108874262595663
43, 0.09723765007058874, 0.0996068339445153
46, 0.09878695497284343, 0.0984133039202009
49, 0.10005251012609086, 0.10020709602200255
50, 0.09840305325255101, 0.10213651696029974
7, 0.10552779573045735, 0.10762604382573342
8, 0.10650523672298509, 0.10594974439971301
9, 0.0983332323000815, 0.10284408880739795
