Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.01784673578885137, 0.0038610403878348216
13, 0.011712578334838294, 0.005447004668566646
16, 0.010936824892248426, 0.003167459916095344
19, 0.016101563532549636, 0.006730063302176339
22, 0.01702668810156148, 0.00543700782620177
24, 0.01520695112189468, 0.0067767489686304215
25, 0.014441213086186622, 0.008668507167271206
28, 0.014297948536997982, 0.009331048459422831
29, 0.0169402923691365, 0.006083394264688297
30, 0.013375873961416231, 0.003414684217803332
31, 0.014273914301999703, 0.005807943538743622
34, 0.016829038278824718, 0.007663343001385124
35, 0.014068791559069217, 0.0067494388502471305
37, 0.015160875357255974, 0.006107187076490752
40, 0.01719266088154851, 0.0060397292156608735
43, 0.013953008572524572, 0.008996555561922035
46, 0.014799506298291966, 0.007202259764379385
49, 0.016120256172126157, 0.005027524987045599
50, 0.01624666379033303, 0.009590359901895329
7, 0.016079386385814787, 0.007074899478834502
8, 0.018609811821762395, 0.006771088424994021
9, 0.019612102205791168, 0.006101335797991071
