Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.12352964471310987, 0.14224518445073342
13, 0.1454180323722037, 0.15225750358737244
16, 0.14293480659017757, 0.14154800726442923
19, 0.1353450980836928, 0.13371814961336098
22, 0.14054252539583395, 0.13946145193917409
24, 0.1401309653690883, 0.14213900196308993
25, 0.14349535684390943, 0.1420413519411671
28, 0.1386558850791642, 0.1373308142837213
29, 0.14380693343053141, 0.1414240498445472
30, 0.1398245931352888, 0.13697624985052614
31, 0.14192648992481946, 0.1444016188018176
34, 0.1395249101838001, 0.14128795390226404
35, 0.13970600281651444, 0.1382070611447704
37, 0.13876922859911486, 0.14792732083067603
40, 0.1444481937642, 0.14706462003746812
43, 0.14634005908214712, 0.1450449667171556
46, 0.147483838816713, 0.14624349788743624
49, 0.1498480393974943, 0.14616437639508928
50, 0.14519450870436063, 0.14394210504025828
7, 0.12986978959064097, 0.14236742914939413
8, 0.13618480604522082, 0.13844362842793367
9, 0.11681785081789878, 0.12325287488042092
