Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.04499220431580835, 0.030417843254245056
13, 0.05425198972693043, 0.034881327103595344
16, 0.050988738293550454, 0.04064012177136479
19, 0.05535303937377274, 0.04267135308713329
22, 0.053747882170668344, 0.04460281372070313
24, 0.05675261231506762, 0.051442877321827174
25, 0.0563489165636958, 0.05032741001674107
28, 0.05250474295880287, 0.044426260189134245
29, 0.05730016167444046, 0.05166823406608737
30, 0.05825993321217647, 0.046557106485172195
31, 0.055832585779909565, 0.04528565698740434
34, 0.05719311003209877, 0.048115318454041774
35, 0.05712049914657548, 0.04807629643654337
37, 0.05517763730115937, 0.047510730976961096
40, 0.05793067963269292, 0.05401287468112245
43, 0.05492960404376595, 0.049500421018016584
46, 0.05522181462691542, 0.05018796025490274
49, 0.05930838680624813, 0.05400917520328444
50, 0.057605084415357936, 0.051869877406529014
7, 0.04981909660139167, 0.04252337397361288
8, 0.04854176521301269, 0.033032228119519294
9, 0.04617225785374371, 0.03715328294403699
