Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.10939683190170602, 0.10306847397161989
13, 0.11713135532157574, 0.0998830865353954
16, 0.12962049601029377, 0.12424006870814733
19, 0.1296078366649394, 0.11899730448820153
22, 0.13374813072756622, 0.1280951924226722
24, 0.117418963633427, 0.1089066050003986
25, 0.12114233821946747, 0.11030445332429847
28, 0.12891436763129496, 0.11822098712531888
29, 0.12573092713647957, 0.11969382772640307
30, 0.1322641788404815, 0.13155573630819517
31, 0.12793706094065022, 0.11810970384247449
34, 0.1375163807588465, 0.13583045803770727
35, 0.12573171703460959, 0.12038018674266582
37, 0.13683073183744568, 0.1327891322544643
40, 0.13069872766611526, 0.12616550367705676
43, 0.1535129046338285, 0.1569902194276148
46, 0.14788918712653198, 0.14443841428172832
49, 0.13794017952216361, 0.13105745276626277
50, 0.1521111348054847, 0.1486376143474968
7, 0.09842247965732054, 0.10641854422433036
8, 0.09741770997339366, 0.0936454928651148
9, 0.10176319148264773, 0.0949288255341199
