Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.11936863303671079, 0.10647256656568878
13, 0.11193331779827315, 0.09699142767458546
16, 0.1056331509959941, 0.10658564353475766
19, 0.10245044515673249, 0.10695571588010204
22, 0.10929738004043948, 0.10734219920878507
24, 0.11481955755324591, 0.11029897884446747
25, 0.10368498547612404, 0.10672593720105229
28, 0.10572970910253052, 0.10002871143574618
29, 0.1222617519950464, 0.1211767578125
30, 0.10949818326989, 0.11398982456752232
31, 0.11373959770478882, 0.11663480797592475
34, 0.11660597197863522, 0.11338286730707908
35, 0.11383371478823115, 0.11334178691007653
37, 0.11659049049373234, 0.11514523875956632
40, 0.11680433499083227, 0.11789148447464923
43, 0.12054842926735101, 0.12086777044802297
46, 0.12159467465283073, 0.11869118203922194
49, 0.12231575466602458, 0.11877462581712372
50, 0.12337515794403699, 0.11993162816884567
7, 0.11922178752220754, 0.1014396823182398
8, 0.09752010189757054, 0.09640850144989636
9, 0.11563215536865787, 0.10819136639030612
