Number of clusters, Avarge Mean Score, Avarge Median Score
10, 0.07781010374730948, 0.08492128956074617
13, 0.08100923116016237, 0.08513625787228954
16, 0.08187262593483438, 0.09442570900430484
19, 0.07812543825995655, 0.08814134870256697
22, 0.08318335142117927, 0.0847688324597417
24, 0.08845681404580874, 0.09108649740413743
25, 0.08621708884725766, 0.08395396952726403
28, 0.08288170505890693, 0.08450070128148915
29, 0.08835416553559057, 0.08505001145966198
30, 0.08875164000842035, 0.0910983743472975
31, 0.08327440464002196, 0.08346270502830039
34, 0.08175409264352713, 0.07545348186882175
35, 0.08346634413827612, 0.08109672702088648
37, 0.08228944402864082, 0.08471846599968112
40, 0.08824115683107961, 0.0902342192980708
43, 0.08014743940718208, 0.07926247110172194
46, 0.08207406065161502, 0.08198286406847896
49, 0.07918689554604526, 0.07590640943877551
50, 0.0796552890388333, 0.07779675853495696
7, 0.07188697303349353, 0.07861073396643814
8, 0.076604646176708, 0.07891214176100128
9, 0.07872553853491267, 0.08101816605548469
